Date : 2026-08-30 20:08:00
Directory : /Users/nssanjeev/Development/Halo
Total : 372 files,  68476 codes, 13560 comments, 10804 blanks, all 92840 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        182 |     43,583 |     12,985 |      6,524 |     63,092 |
| TypeScript JSX     |        146 |     13,624 |        283 |      1,861 |     15,768 |
| YAML               |          2 |      6,460 |          0 |      1,658 |      8,118 |
| JavaScript         |          6 |      2,024 |         58 |         27 |      2,109 |
| PostCSS            |          1 |      1,922 |        126 |        495 |      2,543 |
| Markdown           |          3 |        298 |          0 |        123 |        421 |
| MS SQL             |         15 |        263 |        108 |        102 |        473 |
| JSON               |          8 |        216 |          0 |          5 |        221 |
| JSON with Comments |          4 |         81 |          0 |          9 |         90 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        372 |     68,476 |     13,560 |     10,804 |     92,840 |
| . (Files)                                                                                                                 |          6 |      6,501 |          2 |      1,662 |      8,165 |
| apps                                                                                                                      |        227 |     41,184 |     11,864 |      5,886 |     58,934 |
| apps/dashboard                                                                                                            |        227 |     41,184 |     11,864 |      5,886 |     58,934 |
| apps/dashboard (Files)                                                                                                    |          8 |        156 |          3 |         26 |        185 |
| apps/dashboard/public                                                                                                     |          5 |          5 |          0 |          0 |          5 |
| apps/dashboard/src                                                                                                        |        214 |     41,023 |     11,861 |      5,860 |     58,744 |
| apps/dashboard/src/actions                                                                                                |         13 |      2,802 |        328 |        519 |      3,649 |
| apps/dashboard/src/app                                                                                                    |        105 |      9,362 |        277 |      1,508 |     11,147 |
| apps/dashboard/src/app (Files)                                                                                            |          3 |      1,955 |        126 |        501 |      2,582 |
| apps/dashboard/src/app/(auth)                                                                                             |          3 |         60 |          0 |         10 |         70 |
| apps/dashboard/src/app/(auth) (Files)                                                                                     |          1 |         14 |          0 |          4 |         18 |
| apps/dashboard/src/app/(auth)/sign-in                                                                                     |          1 |         23 |          0 |          3 |         26 |
| apps/dashboard/src/app/(auth)/sign-up                                                                                     |          1 |         23 |          0 |          3 |         26 |
| apps/dashboard/src/app/(dashboard)                                                                                        |         90 |      6,633 |        129 |        898 |      7,660 |
| apps/dashboard/src/app/(dashboard) (Files)                                                                                |          2 |         72 |          2 |         13 |         87 |
| apps/dashboard/src/app/(dashboard)/dashboards                                                                             |          5 |        318 |          8 |         38 |        364 |
| apps/dashboard/src/app/(dashboard)/dashboards (Files)                                                                     |          2 |         52 |          0 |          8 |         60 |
| apps/dashboard/src/app/(dashboard)/dashboards/services                                                                    |          1 |         42 |          0 |          5 |         47 |
